code coverage
start time: 2026-09-25 01:03:33
tag: AMAZE_SUPER_LOG
total methods: 60810
total activities: 8
[AMAZE_SUPER_LOG] 14.88407% (9051/60810) @ 148.91s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 15.10771% (9187/60810) @ 242.42s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 15.82470% (9623/60810) @ 338.83s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 16.11906% (9802/60810) @ 464.84s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 16.11906% (9802/60810) @ 628.42s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 16.12235% (9804/60810) @ 731.19s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 16.49564% (10031/60810) @ 849.98s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.27183% (10503/60810) @ 978.41s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.27183% (10503/60810) @ 1135.88s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.27183% (10503/60810) @ 1283.70s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.27183% (10503/60810) @ 1410.34s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.29485% (10517/60810) @ 1549.17s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.34254% (10546/60810) @ 1705.16s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.34254% (10546/60810) @ 1806.13s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.34254% (10546/60810) @ 1976.64s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.63032% (10721/60810) @ 2068.15s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.66321% (10741/60810) @ 2189.19s | activities  12.50% (1/8)
[AMAZE_SUPER_LOG] 17.67637% (10749/60810) @ 2290.22s | activities  12.50% (1/8)
