code coverage
start time: 2026-09-25 04:59:00
tag: FOSSIFYCLOCK_SUPER_LOG
total methods: 27793
total activities: 16
[FOSSIFYCLOCK_SUPER_LOG] 11.42014% (3174/27793) @ 103.67s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 11.44533% (3181/27793) @ 238.72s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 11.75116% (3266/27793) @ 327.18s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 11.75116% (3266/27793) @ 455.02s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 11.75116% (3266/27793) @ 564.86s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 12.80898% (3560/27793) @ 642.45s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 12.80898% (3560/27793) @ 783.91s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 12.80898% (3560/27793) @ 894.47s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 13.19757% (3668/27793) @ 998.38s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 13.27313% (3689/27793) @ 1112.22s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 13.27313% (3689/27793) @ 1278.83s | activities  12.50% (2/16)
[FOSSIFYCLOCK_SUPER_LOG] 13.96395% (3881/27793) @ 1407.22s | activities  18.75% (3/16)
[FOSSIFYCLOCK_SUPER_LOG] 14.10787% (3921/27793) @ 1476.32s | activities  18.75% (3/16)
[FOSSIFYCLOCK_SUPER_LOG] 14.12586% (3926/27793) @ 1626.15s | activities  18.75% (3/16)
[FOSSIFYCLOCK_SUPER_LOG] 14.12586% (3926/27793) @ 1679.08s | activities  18.75% (3/16)
