code coverage
start time: 2026-09-25 01:51:32
tag: FOSSIFYCONTA_SUPER_LOG
total methods: 62716
total activities: 15
[FOSSIFYCONTA_SUPER_LOG]  8.73780% (5480/62716) @ 128.51s | activities  13.33% (2/15)
[FOSSIFYCONTA_SUPER_LOG]  9.89381% (6205/62716) @ 212.42s | activities  13.33% (2/15)
[FOSSIFYCONTA_SUPER_LOG] 10.56987% (6629/62716) @ 325.15s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 10.59379% (6644/62716) @ 423.50s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 10.63684% (6671/62716) @ 578.21s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 10.64162% (6674/62716) @ 652.76s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 10.64322% (6675/62716) @ 726.57s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 10.71656% (6721/62716) @ 829.96s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 11.36233% (7126/62716) @ 943.23s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 11.45162% (7182/62716) @ 1052.87s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 11.45481% (7184/62716) @ 1164.51s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 11.48192% (7201/62716) @ 1273.81s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 11.50743% (7217/62716) @ 1371.27s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 11.50743% (7217/62716) @ 1449.33s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 11.51700% (7223/62716) @ 1543.92s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 11.58078% (7263/62716) @ 1654.43s | activities  20.00% (3/15)
[FOSSIFYCONTA_SUPER_LOG] 11.58556% (7266/62716) @ 1761.55s | activities  20.00% (3/15)
