code coverage
start time: 2026-09-25 05:28:56
tag: FOSSIFYVOICE_SUPER_LOG
total methods: 29941
total activities: 13
[FOSSIFYVOICE_SUPER_LOG]  7.84543% (2349/29941) @ 138.57s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  8.83404% (2645/29941) @ 251.98s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  8.89082% (2662/29941) @ 334.20s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  8.90084% (2665/29941) @ 454.78s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.02107% (2701/29941) @ 558.41s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.13129% (2734/29941) @ 653.60s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.13797% (2736/29941) @ 763.75s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.13797% (2736/29941) @ 924.73s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.13797% (2736/29941) @ 1000.97s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.14131% (2737/29941) @ 1110.37s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.14131% (2737/29941) @ 1214.20s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.15801% (2742/29941) @ 1321.17s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.15801% (2742/29941) @ 1444.80s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG]  9.15801% (2742/29941) @ 1575.81s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG] 10.51067% (3147/29941) @ 1714.84s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG] 10.51067% (3147/29941) @ 1786.07s | activities  15.38% (2/13)
[FOSSIFYVOICE_SUPER_LOG] 10.51067% (3147/29941) @ 1815.17s | activities  15.38% (2/13)
