code coverage
start time: 2026-09-25 00:31:07
tag: LOOPHABITS_SUPER_LOG
total methods: 41715
total activities: 11
[LOOPHABITS_SUPER_LOG] 11.52104% (4806/41715) @ 123.20s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.34808% (5151/41715) @ 217.96s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.38643% (5167/41715) @ 324.65s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.44157% (5190/41715) @ 456.44s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.44157% (5190/41715) @ 551.72s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.44157% (5190/41715) @ 636.00s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.50390% (5216/41715) @ 778.77s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.81074% (5344/41715) @ 867.36s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.82273% (5349/41715) @ 1034.98s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.82273% (5349/41715) @ 1173.59s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 12.82273% (5349/41715) @ 1252.99s | activities  27.27% (3/11)
[LOOPHABITS_SUPER_LOG] 14.09805% (5881/41715) @ 1344.08s | activities  36.36% (4/11)
[LOOPHABITS_SUPER_LOG] 14.13400% (5896/41715) @ 1447.04s | activities  36.36% (4/11)
[LOOPHABITS_SUPER_LOG] 14.13400% (5896/41715) @ 1592.71s | activities  36.36% (4/11)
