code coverage
start time: 2026-09-24 22:21:56
tag: PIPE_SUPER_LOG
total methods: 74478
total activities: 12
[PIPE_SUPER_LOG] 11.92433% (8881/74478) @ 115.47s | activities   8.33% (1/12)
[PIPE_SUPER_LOG] 12.73933% (9488/74478) @ 185.34s | activities   8.33% (1/12)
[PIPE_SUPER_LOG] 13.47646% (10037/74478) @ 311.88s | activities  16.67% (2/12)
[PIPE_SUPER_LOG] 13.51809% (10068/74478) @ 468.43s | activities  16.67% (2/12)
[PIPE_SUPER_LOG] 13.51809% (10068/74478) @ 541.70s | activities  16.67% (2/12)
[PIPE_SUPER_LOG] 15.05277% (11211/74478) @ 632.41s | activities  16.67% (2/12)
[PIPE_SUPER_LOG] 15.50391% (11547/74478) @ 744.30s | activities  25.00% (3/12)
[PIPE_SUPER_LOG] 15.51196% (11553/74478) @ 845.20s | activities  25.00% (3/12)
[PIPE_SUPER_LOG] 15.51599% (11556/74478) @ 945.51s | activities  25.00% (3/12)
[PIPE_SUPER_LOG] 15.72545% (11712/74478) @ 1085.72s | activities  25.00% (3/12)
[PIPE_SUPER_LOG] 15.72679% (11713/74478) @ 1191.06s | activities  25.00% (3/12)
[PIPE_SUPER_LOG] 15.72679% (11713/74478) @ 1273.28s | activities  25.00% (3/12)
[PIPE_SUPER_LOG] 15.82212% (11784/74478) @ 1397.65s | activities  25.00% (3/12)
[PIPE_SUPER_LOG] 16.14571% (12025/74478) @ 1487.91s | activities  25.00% (3/12)
[PIPE_SUPER_LOG] 16.15511% (12032/74478) @ 1586.95s | activities  25.00% (3/12)
[PIPE_SUPER_LOG] 16.16182% (12037/74478) @ 1638.65s | activities  25.00% (3/12)
