code coverage
start time: 2026-09-25 02:26:22
tag: ODYSSEY_SUPER_LOG
total methods: 55027
total activities: 3
[ODYSSEY_SUPER_LOG]  8.89200% (4893/55027) @ 87.44s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.25546% (5093/55027) @ 184.86s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.88060% (5437/55027) @ 273.05s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.94784% (5474/55027) @ 373.18s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.94784% (5474/55027) @ 455.47s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.95511% (5478/55027) @ 541.38s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.97692% (5490/55027) @ 663.36s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.98964% (5497/55027) @ 760.80s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.98964% (5497/55027) @ 854.42s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.98964% (5497/55027) @ 952.70s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG]  9.98964% (5497/55027) @ 1030.05s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.01327% (5510/55027) @ 1164.75s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.05325% (5532/55027) @ 1282.63s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.05506% (5533/55027) @ 1413.69s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.12776% (5573/55027) @ 1486.67s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.12776% (5573/55027) @ 1585.90s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.12776% (5573/55027) @ 1713.56s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.19863% (5612/55027) @ 1793.45s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.19863% (5612/55027) @ 1914.78s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.19863% (5612/55027) @ 2072.31s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.26042% (5646/55027) @ 2164.71s | activities  33.33% (1/3)
[ODYSSEY_SUPER_LOG] 10.26042% (5646/55027) @ 2274.46s | activities  33.33% (1/3)
