code coverage
start time: 2026-09-25 04:17:47
tag: OPENCAMERA_SUPER_LOG
total methods: 36079
total activities: 3
[OPENCAMERA_SUPER_LOG]  6.60495% (2383/36079) @ 134.90s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  6.82946% (2464/36079) @ 277.34s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.37548% (2661/36079) @ 377.03s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.42814% (2680/36079) @ 453.53s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.46418% (2693/36079) @ 599.75s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.63325% (2754/36079) @ 673.30s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.87162% (2840/36079) @ 787.96s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.87439% (2841/36079) @ 951.92s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98248% (2880/36079) @ 1051.63s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98248% (2880/36079) @ 1127.26s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98248% (2880/36079) @ 1261.58s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98248% (2880/36079) @ 1398.60s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98525% (2881/36079) @ 1505.35s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98525% (2881/36079) @ 1671.99s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98525% (2881/36079) @ 1767.59s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98525% (2881/36079) @ 1837.82s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98803% (2882/36079) @ 1939.65s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98803% (2882/36079) @ 2022.10s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  7.98803% (2882/36079) @ 2114.71s | activities  33.33% (1/3)
[OPENCAMERA_SUPER_LOG]  8.00466% (2888/36079) @ 2227.01s | activities  33.33% (1/3)
