code coverage
start time: 2026-09-25 00:00:02
tag: OPENTASKS_SUPER_LOG
total methods: 25768
total activities: 8
[OPENTASKS_SUPER_LOG] 12.03819% (3102/25768) @ 104.37s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 12.23611% (3153/25768) @ 233.31s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 13.44691% (3465/25768) @ 333.48s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 13.44691% (3465/25768) @ 407.36s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 13.94365% (3593/25768) @ 529.74s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.00962% (3610/25768) @ 616.65s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.04843% (3620/25768) @ 703.89s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.06007% (3623/25768) @ 860.95s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.06396% (3624/25768) @ 973.64s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.06396% (3624/25768) @ 1054.72s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.16486% (3650/25768) @ 1147.91s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.20754% (3661/25768) @ 1254.49s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.20754% (3661/25768) @ 1389.15s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.21143% (3662/25768) @ 1529.72s | activities  25.00% (2/8)
[OPENTASKS_SUPER_LOG] 14.54905% (3749/25768) @ 1645.25s | activities  37.50% (3/8)
[OPENTASKS_SUPER_LOG] 14.68100% (3783/25768) @ 1724.17s | activities  37.50% (3/8)
[OPENTASKS_SUPER_LOG] 14.68100% (3783/25768) @ 1769.52s | activities  37.50% (3/8)
