code coverage
start time: 2026-09-25 03:06:36
tag: RADIODROID_SUPER_LOG
total methods: 91188
total activities: 1
[RADIODROID_SUPER_LOG] 11.18349% (10198/91188) @ 108.74s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 12.20117% (11126/91188) @ 202.90s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 12.23297% (11155/91188) @ 345.04s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 12.29986% (11216/91188) @ 447.29s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 12.61241% (11501/91188) @ 525.79s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 12.92385% (11785/91188) @ 654.46s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 12.92714% (11788/91188) @ 737.30s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 12.99513% (11850/91188) @ 841.84s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 13.19801% (12035/91188) @ 933.03s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 13.22652% (12061/91188) @ 1045.01s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 13.43708% (12253/91188) @ 1161.71s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 13.43927% (12255/91188) @ 1243.28s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 13.48862% (12300/91188) @ 1329.43s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 13.49300% (12304/91188) @ 1447.81s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 13.53906% (12346/91188) @ 1542.79s | activities 100.00% (1/1)
[RADIODROID_SUPER_LOG] 13.69149% (12485/91188) @ 1617.72s | activities 100.00% (1/1)
