code coverage
start time: 2026-08-26 23:34:45
tag: MONEY_SUPER_LOG
total methods: 147371
total activities: 51
[MONEY_SUPER_LOG]  3.88611% (5727/147371) @ 132.44s | activities   9.80% (5/51)
[MONEY_SUPER_LOG]  5.74401% (8465/147371) @ 212.90s | activities  11.76% (6/51)
[MONEY_SUPER_LOG]  5.88786% (8677/147371) @ 255.71s | activities  11.76% (6/51)
[MONEY_SUPER_LOG]  5.96250% (8787/147371) @ 330.83s | activities  11.76% (6/51)
[MONEY_SUPER_LOG]  6.16132% (9080/147371) @ 343.43s | activities  15.69% (8/51)
[MONEY_SUPER_LOG]  6.19253% (9126/147371) @ 423.10s | activities  15.69% (8/51)
[MONEY_SUPER_LOG]  6.26582% (9234/147371) @ 537.37s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.27193% (9243/147371) @ 551.03s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.27193% (9243/147371) @ 563.64s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.27193% (9243/147371) @ 577.12s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.39000% (9417/147371) @ 611.52s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.41646% (9456/147371) @ 623.91s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.51281% (9598/147371) @ 637.95s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.51281% (9598/147371) @ 650.64s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.53724% (9634/147371) @ 664.37s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.53724% (9634/147371) @ 704.01s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.55217% (9656/147371) @ 782.31s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.55421% (9659/147371) @ 830.76s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.55421% (9659/147371) @ 842.77s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.55964% (9667/147371) @ 961.90s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.55964% (9667/147371) @ 974.34s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.55964% (9667/147371) @ 1024.31s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.55964% (9667/147371) @ 1161.42s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.56235% (9671/147371) @ 1210.11s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.56235% (9671/147371) @ 1454.55s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.66481% (9822/147371) @ 1504.06s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66481% (9822/147371) @ 1578.23s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66481% (9822/147371) @ 1616.30s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 1745.40s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 1793.69s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 1909.65s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 1921.56s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 2024.15s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 2071.99s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 2126.19s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 2282.01s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 2341.87s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.66956% (9829/147371) @ 2453.84s | activities  19.61% (10/51)
[MONEY_SUPER_LOG]  6.68720% (9855/147371) @ 2622.72s | activities  21.57% (11/51)
[MONEY_SUPER_LOG]  6.68992% (9859/147371) @ 2721.22s | activities  21.57% (11/51)
[MONEY_SUPER_LOG]  6.69060% (9860/147371) @ 2773.54s | activities  21.57% (11/51)
[MONEY_SUPER_LOG]  6.69060% (9860/147371) @ 3114.23s | activities  21.57% (11/51)
