code coverage
start time: 2026-08-27 04:16:39
tag: MONEY_SUPER_LOG
total methods: 147371
total activities: 51
[MONEY_SUPER_LOG]  5.66394% (8347/147371) @ 268.14s | activities  11.76% (6/51)
[MONEY_SUPER_LOG]  5.86343% (8641/147371) @ 373.27s | activities  11.76% (6/51)
[MONEY_SUPER_LOG]  5.92450% (8731/147371) @ 536.44s | activities  11.76% (6/51)
[MONEY_SUPER_LOG]  6.02018% (8872/147371) @ 669.75s | activities  13.73% (7/51)
[MONEY_SUPER_LOG]  6.02425% (8878/147371) @ 716.85s | activities  13.73% (7/51)
[MONEY_SUPER_LOG]  6.02900% (8885/147371) @ 785.08s | activities  13.73% (7/51)
[MONEY_SUPER_LOG]  6.27193% (9243/147371) @ 811.10s | activities  13.73% (7/51)
[MONEY_SUPER_LOG]  6.58203% (9700/147371) @ 857.28s | activities  13.73% (7/51)
[MONEY_SUPER_LOG]  6.68313% (9849/147371) @ 1002.61s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.68313% (9849/147371) @ 1055.07s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.68313% (9849/147371) @ 1103.33s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.68313% (9849/147371) @ 1221.22s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.68313% (9849/147371) @ 1452.93s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.68313% (9849/147371) @ 1624.07s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.68517% (9852/147371) @ 1822.94s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.68788% (9856/147371) @ 2040.38s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.68788% (9856/147371) @ 2211.29s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.69195% (9862/147371) @ 2353.42s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.69467% (9866/147371) @ 2436.87s | activities  17.65% (9/51)
[MONEY_SUPER_LOG]  6.76592% (9971/147371) @ 2575.20s | activities  21.57% (11/51)
[MONEY_SUPER_LOG]  6.79917% (10020/147371) @ 2724.97s | activities  21.57% (11/51)
[MONEY_SUPER_LOG]  6.79917% (10020/147371) @ 2888.16s | activities  21.57% (11/51)
[MONEY_SUPER_LOG]  6.81410% (10042/147371) @ 3004.11s | activities  23.53% (12/51)
[MONEY_SUPER_LOG]  6.82156% (10053/147371) @ 3151.30s | activities  23.53% (12/51)
[MONEY_SUPER_LOG]  6.82156% (10053/147371) @ 3177.35s | activities  23.53% (12/51)
[MONEY_SUPER_LOG]  6.82156% (10053/147371) @ 3203.50s | activities  23.53% (12/51)
[MONEY_SUPER_LOG]  6.91316% (10188/147371) @ 3285.92s | activities  25.49% (13/51)
[MONEY_SUPER_LOG]  6.94574% (10236/147371) @ 3314.74s | activities  27.45% (14/51)
[MONEY_SUPER_LOG]  6.97627% (10281/147371) @ 3379.36s | activities  27.45% (14/51)
[MONEY_SUPER_LOG]  7.01427% (10337/147371) @ 3435.48s | activities  27.45% (14/51)
[MONEY_SUPER_LOG]  7.01563% (10339/147371) @ 3642.83s | activities  27.45% (14/51)
